x,y,z,id,height
625222.88,6103461.81,830.62,522,23.7799731445
625169.32,6103231.88,834.09,523,27.639987793
625547.35,6103289.86,846.35,524,27.9400268555
625152.87,6103275.04,829.56,525,29.260012207
625419.5,6103096.27,840.97,526,28.420012207
625539.96,6103307.48,846.51,527,26.8799951172
625254.6,6103504.74,832.9,528,24.1700195313
625261.3,6103212.03,834.93,529,19.7899853516
625437.55,6103258.06,846.2,530,25.1799804688
625362.8,6103168.92,846.31,531,26.8200097656
625330.64,6103230.46,843.31,532,26.5700097656
625382.2,6103362.49,846.58,533,27.3099804688
625274.41,6103242.26,839.87,534,27.5100146484
625293.92,6103200.23,842.19,535,26.2100195313
625441.38,6103164.19,840.32,536,27.0900195313
625479,6103308.35,829.56,537,7.2399926758
625197.15,6103219.25,836.56,538,25.6300073242
625480.02,6103205.95,841.67,539,29.6100024414
625561.68,6103306.8,845.17,540,27.8800219727
625465.49,6103362.42,843.84,541,24.3700292969
625367.31,6103185.28,844.3,542,25.099987793
625483.64,6103160.93,838.2,543,29.3199951172
625191.9,6103313.19,833.8,544,29.599987793
625194.47,6103397.74,830.13,545,22.2299755859
625229.23,6103362.8,837.16,546,26.1800195313
625378.94,6103288.12,846.54,547,26.9599829102
625465.8,6103327.3,847.92,548,26.1900195313
625368.03,6103220.57,843.24,549,24.4500219727
625464.91,6103157.16,838.42,550,29.0100268555
625302.26,6103148.33,845.3,551,25.5600097656
625432.89,6103146.8,844.36,552,28.5700219727
625223.09,6103201.25,840.42,553,26.42
625400.08,6103442.31,842.42,554,25.7699755859
625297.55,6103448.02,840.6,555,28.3800292969
625418.8,6103329.01,845.18,556,23.7500073242
625460.65,6103315.92,845.62,557,23.320012207
625236.96,6103438.3,835.31,558,25.7100244141
625286.83,6103379.5,841.06,559,27.2500024414
625275.03,6103401.84,836.98,560,25.1700024414
625553.12,6103329.57,845.33,561,28.129987793
625266.38,6103284.33,836.86,562,25.8399804688
625322.46,6103279.41,843.42,563,27.5199755859
625290.42,6103253.66,840.29,564,26.7300024414
625149.05,6103259.46,831.62,565,30.5499926758
625227.16,6103447.65,832.61,566,24.3900292969
625219.19,6103225.45,840.34,567,28.6200292969
625383.2,6103099.82,843.83,568,27.3199902344
625509.83,6103292.86,846.03,569,24.5400097656
625417.07,6103158.69,842.14,570,24.9899755859
625499.13,6103216.78,832.04,571,21.8700170898
625314.47,6103244.37,842.43,572,27.2100292969
625165.9,6103387.77,831.67,573,25.2400073242
625371.32,6103402.08,842.43,574,25.2500073242
625252.33,6103277.62,838.29,575,29.1999731445
625254.63,6103439.63,833.91,576,23.3299829102
625178.76,6103309.98,832.13,577,30.3599804688
625531.5,6103346.74,844.21,578,25.21
625291.04,6103279.61,841.36,579,27.8700097656
625291.9,6103344.27,840.29,580,25.0700292969
625112.67,6103266.48,827.53,581,25.7699902344
625485.55,6103347.56,844.52,582,24.4999804688
625290.6,6103508.32,834.9,583,23.8099731445
625276.28,6103315.83,841.08,584,27.1199780273
625389.73,6103112.57,843.43,585,27.7000195313
625288.2,6103213.29,842.23,586,27.1200146484
